Type,Requirement,Level
L,'The application shall match the color of the schema set forth by Department of Homeland Security',Low
LF,'The application shall match the color of the schema set forth by Department of Homeland Security',Low
LF,'If projected the data must be readable On a 10x10 projection screen 90% of viewers must be able to read Event / Activity data from a viewing distance of 30',Low
US,'If projected the data must be readable On a 10x10 projection screen 90% of viewers must be able to read Event / Activity data from a viewing distance of 30',Medium
A,'The product shall be available during normal business hours As long as the user has access to the client PC the system will be available 99% of the time during the first six months of operation',High
LF,'If projected the data must be understandable On a 10x10 projection screen 90% of viewers must be able to determine that Events or Activities are occurring in current time from a viewing distance of 100',Low
US,'If projected the data must be understandable On a 10x10 projection screen 90% of viewers must be able to determine that Events or Activities are occurring in current time from a viewing distance of 100',Medium
SE,'The product shall ensure that it can only be accessed by authorized users The product will be able to distinguish between authorized and unauthorized users in all access attempts',High
US,'The product shall be intuitive and self-explanatory : 90% of new users shall be able to start the display of Events or Activities within 90 minutes of using the product',Medium
PE,'The product shall respond fast to keep up-to-date data in the display',High
LF,'The display shall have two regions: left 2/3 of the display is graphical right 1/3 of the display is a data table',Low
LF,'The table side of the display shall be split into 2 regions: sequential and temporal',Low
LF,'The top 1/4 of the table will hold events that are to occur sequentially',Low
LF,'The bottom 3/4 of the table will hold events that occur according to its relevance to current time',Low
LF,'The system shall color code events according to their variance from current time',Low
LF,'The system shall display data from the Sync Matrix 10 and Exercise Management Tool 10 applications',Low
MN,'The system shall link Events back to either the Sync Matrix 10 or the Exercise Management Tool 10 applications for modifications',Medium
PO,'The system shall link Events back to either the Sync Matrix 10 or the Exercise Management Tool 10 applications for modifications',Medium
LF,'The look and feel of the system shall conform to the user interface standards of the smart device',Low
LF,'The user interface shall have standard menus buttons for navigation',Low
LF,'The system shall have a professional appearance',Low
LF,'The product shall have a consistent color scheme and fonts',Low
US,'The system shall be used by realtors with no training',Medium
US,'The system shall be intuitive and self explanatory',Medium
US,'The product shall be easy for a realtor to learn',Medium
LF,'The product shall use symbols and words that are naturally understandable by the realtor community',Low
US,'The product shall use symbols and words that are naturally understandable by the realtor community',Medium
PE,'The product shall produce search results in an acceptable time',High
PE,'The search results shall be returned no later 30 seconds after the user has entered the search criteria',High
PE,'The product shall generate a CMA report in an acceptable time',High
PE,'The CMA report shall be returned no later 60 seconds after the user has entered the CMA report criteria',High
PE,'The product shall synchronize contacts and appointments in an acceptable time',High
PE,'The product shall synchronize with the office system every hour',High
A,'The product shall be available for use 24 hours per day 365 days per year',High
A,'Out of 1000 accesses to the system the system is available 999 times',High
FT,'The product shall operate in offline mode whenever internet connection is unavailable',High
FT,'100% of saved user preferences shall be restored when system comes back online',High
SC,'The product shall be able support 1000 simultaneous users',High
PE,'The product shall be capable of handling the existing 1000 users This number is expected to grow 5 times within the next year',High
SC,'The product shall be capable of handling the existing 1000 users This number is expected to grow 5 times within the next year',High
US,'The product shall be installed by an untrained realtor without recourse to separately-printed instructions',Medium
US,'90% of untrained realtors shall be able to install the product on their device without printed instructions',Medium
PO,'The product is expected to run on Windows CE and Palm operating systems',Medium
SE,'Only registered realtors shall be able to access the system',High
SE,'Every user of the system shall be authenticated and authorized',High
SE,'The product shall prevent its data from incorrect data being introduced',High
US,'The system shall be easy to use by the Program Administrators/Nursing Staff Members',Medium
US,'All of the users shall be able to use the system after one day of training',Medium
US,'The system shall help the user avoid making mistakes while scheduling classes and clinicals for the nursing students',High
US,'The number of mistakes noted by the students shall be decreased by 50% in the first year',High
US,'The system shall be intuitive to the Program Administrators/Nursing Staff Members',Medium
US,'2 out of 3 Program Administrators/Nursing Staff Members shall successfully be able to use the system to manage the scheduling of classes and clinicals',Medium
LF,'The system shall use symbols and words that are naturally understandable by the user community',Low
US,'The system shall use symbols and words that are naturally understandable by the user community',Medium
LF,'The verbiage used within the system shall be consistent with Standard English and the terminology of the national Nursing Community',Low
US,'The verbiage used within the system shall be consistent with Standard English and the terminology of the national Nursing Community',Medium
PE,'Staff members shall be able to complete a set of tasks in a timely manner',High
PE,'The response time of general student management tasks shall take no longer than 5 seconds and the response time of schedule generation shall take no longer than 30 seconds',High
A,'The system shall be available for use between the hours of 8am and 6pm',High
A,'The system shall achieve 95% up time',High
A,'system shall be able to handle all of the user requests/usage during business hours',High
SC,'system shall be able to handle all of the user requests/usage during business hours',High
A,'The system shall cater to 10 simultaneous users from 9am to 5pm',High
SC,'The system shall cater to 10 simultaneous users from 9am to 5pm',Medium
SC,'The system shall be capable of processing 100% of nursing students and their classes for the next 10 years',High
SC,'The system shall be expected to manage the nursing program curriculum and class/clinical scheduling for a minimum of 5 years',High
O,'The system shall able to operate within a business office environment typical of the Nursing Department at DePaul University',Medium
O,'The system shall be used within the specifications defined by the computers used by the Program Administrators/Nursing Staff Members',Medium
O,'The system shall operate within the Windows XP Professional operating system',Medium
O,The system shall interface with CampusConnect's central server,High
O,'The system shall interface with the faculty central server',High
O,'The system shall interface with the student master server',High
O,'We must be able to interface with any HTML browser',Medium
SE,'Only authorized users shall have access to clinical site information',High
SE,'Program Administrators/Nursing Staff Members are the only people who shall have access to clinical site details',High
SE,Only authorized users shall have access to students' personal information,High
SE,Dr Susan Poslusny and Dr Julie Donalek are the only people who shall have access to students' personal information,High
SE,'Only authorized users shall have access to the portion of the system that interfaces with CampusConnect',High
SE,'Fit Criterion: Dr Susan Poslusny and Karen Sysol are the only people who shall have access to the final class section scheduling for the system that interfaces with CampusConnect',High
SE,'The system shall have basic data integrity checking to reduce the possibility of incorrect or invalid data being introduced',High
L,The system shall protect private information in accordance with the organization's information policy,Low
SE,The system shall protect private information in accordance with the organization's information policy,High
SE,'The system shall be built such that it is as secure as possible from malicious interference',High
SE,The system shall use the organization's standard virus protection software to help monitor threats to itself,High
L,'The Disputes application shall comply with the corporate standards for user interface creation for internally and externally used applications',Low
LF,'The Disputes application shall comply with the corporate standards for user interface creation for internally and externally used applications',Low
L,'All screens created as part of the Disputes application must comply with corporate standards for interface creation',Low
LF,'All screens created as part of the Disputes application must comply with corporate standards for interface creation',Low
LF,'The list of dispute cases that are displayed after a search is performed must be color coded for easy identification of dispute cases based upon the dispute case status',Low
SC,'100% of the cardmember and merchant services representatives shall use the Disputes application regularly after a 2-day training course',High
US,'100% of the cardmember and merchant services representatives shall use the Disputes application regularly after a 2-day training course',Medium
SC,'100% of cardmember services representatives shall be able to successfully create a dispute case on the first encounter after completing the training course',High
US,'100% of cardmember services representatives shall be able to successfully create a dispute case on the first encounter after completing the training course',Medium
SC,'100% of merchant services representatives shall be able to successfully perform a follow up action on a dispute case on the first encounter after completing the training course',High
US,'100% of merchant services representatives shall be able to successfully perform a follow up action on a dispute case on the first encounter after completing the training course',Medium
PE,'The maximum wait time for a user navigating from one screen to another within the Disputes application shall be no more than 5 seconds',High
PE,'The Disputes application shall support 350 concurrent users without any degradation of performance in the application',High
SC,'The Disputes application shall support 350 concurrent users without any degradation of performance in the application',High
A,'The Disputes application shall be available 24x7x365 with the exception of the following scheduled maintenance windows Monday – Saturday 3:00am to 4:00am EST Sunday 1:00am to 5:00am EST',High
O,'The Disputes application shall be available 24x7x365 with the exception of the following scheduled maintenance windows Monday – Saturday 3:00am to 4:00am EST Sunday 1:00am to 5:00am EST',High
O,'The Disputes application shall interface with the Statement Database The Statement Database provides the transaction details to the Disputes System All transaction details must be obtained from the Statement Database',High
O,'The Disputes application shall interface with the Cardmember Information Database The Cardmember Information Database provides detailed information with regard to a cardmember All cardmember detail information must be obtained from the Cardmember Information Database',High
O,'The Disputes applications shall interface with the Merchant Information Database The Merchant Information Database provides detailed information with regard to the merchant All merchant detail information shall be obtained from the Merchant Information Database',High
O,'The Disputes application shall interface with the Letters application This will allow the Disputes application to request letters as part of the dispute initiation and dispute follow up process All letter requests must be sent to the Print Letter Utility application',High
O,The Disputes application shall interface with the Cardmember Posting and Billing System This will allow the Disputes application to request adjustments to cardmember and merchant's accounts All adjustment requests must be sent to the Cardmember Posting and Billing System,High
SE,'The Disputes application shall ensure that only users with the appropriate access level are allowed to initiate dispute requests',High
SE,'Only users with Update access must be able to initiate dispute requests',High
SE,'The Disputes application shall ensure that only authorized users are allowed to logon to the application',High
SE,'All authorized users once authenticated must be able to logon to the Disputes System',High
SE,'If a user account is revoked it can only be re-instantiated by the System Administrator',High
SE,'Only the System Administrator shall be able to reset a revoked user logon account',High
SE,'The Disputes application shall manipulate and view business data Users will not have direct access to data files or databases',High
L,'The Disputes application must conform to the legal requirements as specified by the Merchant Operating Regulations',Low
L,'All business rules specified in the Disputes System shall be in compliance with the Merchant Operating Regulations',Low
L,'The Disputes application must conform to the legal requirements as specified by Regulation E and Regulation Z that govern credit card disputes processing',Low
L,'All business rules specified in the Disputes System shall be in compliance to the guidelines of Regulation E and Regulation Z',Low
L,'The Disputes application must maintain a detailed history of every action that a user takes on a dispute case This ensures a complete audit trail if questions arise later on with regard to a particular dispute case',Low
L,'All actions that modify an existing dispute case must be recorded in the case history',Low
MN,'All actions that modify an existing dispute case must be recorded in the case history',Medium
A,'The Disputes System must be accessible by both internal and external users',High
SE,'The Disputes System must be accessible by both internal and external users',High
SE,'The Disputes System must prevent users from accessing any dispute cases that do not belong to their cardholder base',High
PE,'The Disputes System will facilitate direct data entry of a dispute case via a user interface that supports real time responses to the users',High
SC,'The Disputes System will facilitate direct data entry of a dispute case via a user interface that supports real time responses to the users',High
SE,'The Disputes System must provide different levels of access with regard to disputes case initiation and follow-up actions',High
SE,'The Disputes System shall provide view access capability for authorized users of the application',High
SE,'The Disputes System shall provide update access capability for authorized users of the application',High
L,'The Disputes System shall prevent the creation of duplicate dispute requests 100% of the time',Low
MN,'The Disputes System shall prevent the creation of duplicate dispute requests 100% of the time',Medium
L,'The Disputes System shall accurately provide a list of possible reason codes for a given transaction The list of possible reason codes must be derived based on the type of transaction and the industry that the merchant belongs to according to the business rules defined for the Disputes System',Medium
MN,'The Disputes System shall accurately provide a list of possible reason codes for a given transaction The list of possible reason codes must be derived based on the type of transaction and the industry that the merchant belongs to according to the business rules defined for the Disputes System',Medium
LF,'A list of all disputes cases that meet the entered search criteria must be provided to the user The list of cases must differentiate the type and/or status of the case by color-coding the line item in the list For example all open cases will be yellow and all closed cases will be gray',Low
L,'All letter requests must be formatted according to guidelines specified by the Print Letter Utility system',Low
LF,'All letter requests must be formatted according to guidelines specified by the Print Letter Utility system',Low
PO,'The product must support Internet Explorer 55 and above',Low
PO,'The product must support Mozilla Firefox 10 and above',Low
O,'The product shall interface with the Choice Parts System This provides the feed of recycled parts data',High
PO,'The product shall run on the existing hardware for all environments',High
L,'The product shall adhere to the corporate Architecture guidelines',Low
L,'The product shall comply with corporate User Interface Guidelines',Low
LF,'The product shall comply with corporate User Interface Guidelines',Low
L,'The product shall comply with corporate color scheme',Low
LF,'The product shall comply with corporate color scheme',Low
LF,'The appearance of the product shall appear professional',Low
US,'The product shall be easy to use by Adjusters and Collision Estimators 95% of Adjusters and Collision Estimators shall find the product easy to use',High
US,'The product shall increase productivity of Collision Estimators 80% of the Collision Estimators shall agree their productivity has increased within 1 month of using the product',High
US,'Users shall feel satisfied using the product 85% of all users will be satisfied with the product',Medium
US,'The product shall be easy to learn by Adjusters and Collision Estimators The product shall be learned with two days onsite training',Medium
LF,'The user shall easily locate instructions while using the product User help can be found within 90% of the system',Medium
US,'The user shall easily locate instructions while using the product User help can be found within 90% of the system',Medium
PE,'The search for recycled parts shall take no longer than 15 seconds The search results shall be returned in under 15 seconds',High
PE,'The search for the preferred repair facility shall take no longer than 8 seconds The preferred repair facility is returned within 8 seconds',High
PE,'The recycled parts audit report shall be returned to the user within 10 seconds The audit report shall be returned within 10 seconds',High
PE,'The preferred repair facility ratings shall be saved within 5 seconds The save shall occur within 5 seconds',High
A,'The product shall adhere to the corporate online availability schedule The application is brought down only within 98% of the scheduled outages per the availability schedule',High
A,'The product shall achieve a 98% uptime The product shall not fail more than 2% of the available online time',High
FT,'The product shall achieve a 98% uptime The product shall not fail more than 2% of the available online time',High
SC,'The product shall be able to handle up to 1500 simultaneous users The system shall perform with 1500 users at a time',High
O,'For estimators the product shall be able to be operated in a repair facility during dirty and noisy conditions',High
O,'The product shall interface with the ChoiceParts system once per day at approximately 1:00 AM',High
MN,'The maintenance of the product will fall within the established corporate maintenance windows',Medium
O,'The product shall be supported using the corporate support center',High
MN,'Product installations and upgrades shall be handled by the middleware technology team within established launch time frames',Medium
SE,'Only adjusters can request recycled parts audit reports No users without an adjuster role shall request recycled parts audits',High
SE,'Only adjusters with a supervisor role can update preferred repair facility ratings Users without the supervisor role cannot access the repair facility ratings',High
SE,'Only collision estimators shall search for recycled parts Users without the collision estimator role shall not have access to the search for recycled parts',High
SE,'Only valid data shall be entered into the system No invalid data shall be entered into the system',High
US,'Only valid data shall be entered into the system No invalid data shall be entered into the system',High
SE,'One insurance company shall not be able to view another insurance company’s claim data',High
SE,'The product shall be free of computer viruses',High
SE,'The system shall prevent malicious attacks including denial of service',High
L,'The product must comply with Sarbanes-Oxley',Low
L,'The product shall comply with the estimatics laws relating to recycled parts usage',Low
L,'The product shall comply with insurance regulations regarding claims processing',Low
O,'The product must work with most database management systems (DBMS) on the market whether the DBMS is colocated with the product on the same machine or is located on a different machine on the computer network',High
PO,'The product must work with most database management systems (DBMS) on the market whether the DBMS is colocated with the product on the same machine or is located on a different machine on the computer network',High
PO,'The product will function alongside server software on any operating system where the Java runtime can be installed',High
O,'The product will require collaboration with a database management system (DBMS) The DBMS may be located on the same machine as the product or on a separate machine residing on the same computer network',High
PO,'The product will require collaboration with a database management system (DBMS) The DBMS may be located on the same machine as the product or on a separate machine residing on the same computer network',High
LF,'The product shall have a conservative and professional appearance',Medium
US,'The product shall make the users want to use it 80% of the users surveyed report they are regularly using the product after the first 2 weeks post-launch',Medium
US,'The product shall be easy to use 90% of users will be able to successfully reserve a conference room within 5 minutes of product use',High
PE,'The product shall give users feedback when necessary 80% of the users surveyed report that the product accurately confirms their actions',High
US,'The product shall give users feedback when necessary 80% of the users surveyed report that the product accurately confirms their actions',High
US,'The product shall allow the user to select a chosen language from one of the target market countries',Medium
US,'The product shall allow for customization of start page and views preferences',Medium
US,'An employee will be able to successfully use the product within a few minutes After informally navigating the product for less than 15 minutes users shall be able to successfully setup meetings and reserve conference rooms',Medium
US,'The product shall use a standard navigation menu familiar to most web users',Medium
US,'The product shall allow for intuitive searching of available conference rooms',Medium
L,'The product shall conform to the Americans with Disabilities Act',Low
PE,The response shall be fast enough to avoid interrupting the user's flow of thought 90% of tasks shall complete within 5 seconds 98% of tasks shall complete within 8 seconds,High
A,'Aside from server failure the software product shall achieve 9999% up time',High
MN,'The product shall create an exception log of problems encountered within the product for transmission to our company for analysis and resolution',Medium
O,'The product shall be expected to operate for at least 5 years for each customer installation',High
O,'The product shall be used in office environments',High
LF,'The product must be able to interface with any HTML browser The product shall transmit data between the user and the product without problems The product shall display HTML properly in 80% of all HTML browsers tested (minimum is to test 8 browsers)',Medium
O,'The product must be able to interface with any HTML browser The product shall transmit data between the user and the product without problems The product shall display HTML properly in 80% of all HTML browsers tested (minimum is to test 8 browsers)',Medium
PO,'The product must be able to interface with any HTML browser The product shall transmit data between the user and the product without problems The product shall display HTML properly in 80% of all HTML browsers tested (minimum is to test 8 browsers)',Medium
A,'The product must be able to interface with various database management systems The product shall communicate successfully with the database management system on 100% of all transactions',High
O,'The product must be able to interface with various database management systems The product shall communicate successfully with the database management system on 100% of all transactions',High
PO,'The product must be able to interface with various database management systems The product shall communicate successfully with the database management system on 100% of all transactions',High
O,'The product must be able to interface with various email servers The product shall be able to send email',High
PO,'The product must be able to interface with various email servers The product shall be able to send email',High
O,'The product shall be available for distribution via the Internet as a binary or ZIP file',Medium
O,'The product shall be available for distribution as a packaged CD',Medium
PE,'A new user must be able to be added to the system within 10 minutes 90% of new users are able to log into the system within 10 minutes',High
MN,'The product must be designed using Design Patterns and coding best practices 90% of maintenance software developers are able to integrate new functionality into the product within 2 working days',Medium
MN,'The product must be highly configurable for use with various database management systems for the end users 80% of end users are able to integrate new database management systems with the product without changing the product's software code',High
PO,'The product must be highly configurable for use with various database management systems for the end users 80% of end users are able to integrate new database management systems with the product without changing the product's software code',High
MN,'Maintenance releases will be offered to customers once a year The releases shall take no longer than 5 minutes for 80% of the customer base to install',Medium
PE,'Maintenance releases will be offered to customers once a year The releases shall take no longer than 5 minutes for 80% of the customer base to install',Medium
LF,'Every registered user will have access to the product's support site via the Internet 70% of registered users shall find a solution to their problem within 5 minutes of using the support site',Medium
SE,'Every registered user will have access to the product's support site via the Internet 70% of registered users shall find a solution to their problem within 5 minutes of using the support site',Medium
US,'Every registered user will have access to the product's support site via the Internet 70% of registered users shall find a solution to their problem within 5 minutes of using the support site',Medium
MN,'The customer shall be able to easily integrate new building maps with the product throughout the product's lifecycle Integration of new maps with the product shall be possible with little to no support from product support staff',Medium
MN,'The product shall be translated into foreign languages other than the target market countries' languages in future releases For each emerging target market it shall take no more than 5 days to configure the product for that market's language',Medium
SC,'The product shall be translated into foreign languages other than the target market countries' languages in future releases For each emerging target market it shall take no more than 5 days to configure the product for that market's language',Medium
US,'The product shall be translated into foreign languages other than the target market countries' languages in future releases For each emerging target market it shall take no more than 5 days to configure the product for that market's language',Medium
O,'The product shall be able to be installed in any operating environment within 2 days',High
PO,'The product shall be able to be installed in any operating environment within 2 days',High
SE,'The product shall ensure that only company employees or external users with company-approved user IDs may have product access 100% of all logons shall be by either company employees or external users with company-approved user IDs',High
SE,'Only managers are able to perform search queries for reservations by user 100% of all search queries for reservations by user shall be from logons of only management logons',High
SE,'The product shall ensure that the database's data corresponds to the data entered by the user Each conference room reservation in the system will contain the same information as was entered by the user',High
SE,'The product shall prevent the input of malicious data The product and/or adjacent hardware/software systems' data shall remain 100% uncorrupted each time malicious data is input into the product',High
A,'The product and/or dependent databases/filesystems shall remain operational as a result of the input of malicious data The product and/or dependent databases/filesystems shall not crash 100% of the time that malicious data is input into the product',High
FT,'The product and/or dependent databases/filesystems shall remain operational as a result of the input of malicious data The product and/or dependent databases/filesystems shall not crash 100% of the time that malicious data is input into the product',High
SE,'The product and/or dependent databases/filesystems shall remain operational as a result of the input of malicious data The product and/or dependent databases/filesystems shall not crash 100% of the time that malicious data is input into the product',High
MN,'The product shall have the ability to receive automatic software updates as new threats emerge 100% of customers will be able to receive automatic software updates transmitted to the installed product',High
SE,'The product shall have the ability to receive automatic software updates as new threats emerge 100% of customers will be able to receive automatic software updates transmitted to the installed product',High
SC,'The language of the product shall accommodate all of the target market countries 90% of survey respondents from each target market country will find that the language of the product is acceptable',Medium
US,'The language of the product shall accommodate all of the target market countries 90% of survey respondents from each target market country will find that the language of the product is acceptable',Medium
US,'The product shall be able to display calendar dates and times according to the user's locale 90% of survey respondents from each target market country will find that the date and time formatting of the product is correct',Medium
O,'The product must be developed with the J2SE/J2EE programming language libraries',High
LF,'The product shall have a customizable Look and Feel',Medium
US,'The product shall have an intuitive user interface',High
PE,'Recreation of Inventory Quantity Adjustment for the period of previous 30 days shall take no more than 30min',High
SC,'The System shall allow for a minimum of 6 users to work at the same time',Medium
O,'The System shall utilize currently owned computer equipment',High
FT,'The System shall be able to automatically backup business data and restore them on demand',High
SE,'The System shall maintain consistent security Any changes in user passwords and/or permissions should take affect in all parts of the System',High
SE,'The System shall granularly control access rights to all major subsystems It should be possible to assign access rights to all subsystems independently',High
L,'The System shall meet all applicable accounting standards The final version of the System must successfully pass independent audit performed by a certified auditor',High
MN,'The System shall meet all applicable accounting standards The final version of the System must successfully pass independent audit performed by a certified auditor',High
O,'The System shall not require additional third party licenses resulting in royalty fees',Medium
LF,'PME Subsystem shall allow keeping submenus within menus and products within submenus in a managed and persisted order',Medium
US,'PME Subsystem shall allow keeping submenus within menus and products within submenus in a managed and persisted order',Medium
LF,'The RMS System shall have Windows XP look and feel and use GUI features making its use intuitive',Medium
US,'The RMS System shall have Windows XP look and feel and use GUI features making its use intuitive',Medium
PE,'Administrator shall be able to activate a pre-paid card via the Administration section in under 5 seconds',High
US,'Administrator shall be able to activate a pre-paid card via the Administration section in under 5 seconds',High
PE,'Customer shall be able to check the status of their prepaid card by entering in the PIN number in under 5 seconds',High
US,'Customer shall be able to check the status of their prepaid card by entering in the PIN number in under 5 seconds',High
PE,System shall let customers register on the website as a 'pay as you go' user in under 5 minutes,High
US,System shall let customers register on the website as a 'pay as you go' user in under 5 minutes,High
PE,System shall let customers register on the website as a 'unlimited movie subscriber' user in under 10 minutes,High
US,System shall let customers register on the website as a 'unlimited movie subscriber' user in under 10 minutes,High
PE,'System shall let existing customers log into the website with their email address and password in under 5 seconds',High
US,'System shall let existing customers log into the website with their email address and password in under 5 seconds',High
PE,'System shall let customers cancel their account process shall take no longer than 2 minutes Database will mark the account as inactive and user will not be able to log into the website',High
SE,'System shall let customers cancel their account process shall take no longer than 2 minutes Database will mark the account as inactive and user will not be able to log into the website',High
US,'System shall let customers cancel their account process shall take no longer than 2 minutes Database will mark the account as inactive and user will not be able to log into the website',High
PE,'System shall let administrator de-activate a customer account in under 1 minute Customer will no longer be able to access the website',High
SE,'System shall let administrator de-activate a customer account in under 1 minute Customer will no longer be able to access the website',High
PE,'System shall let administrator add/remove movies on the website in under 5 minutes Entered movie information will be stored in the database and will now be available on the website',High
US,'System shall let administrator add/remove movies on the website in under 5 minutes Entered movie information will be stored in the database and will now be available on the website',High
PE,'System shall let the administrator add/remove categories on the website in under 5 minutes',High
US,'System shall let the administrator add/remove categories on the website in under 5 minutes',High
PE,'System shall let Izogn Manager access sales and usage statistics in under 2 minutes', High
PE,'System shall let administrators generate unique pre-paid pins in under 2 minutes and generate an Excel file with the generated PINs', High
US,'System shall let administrators generate unique pre-paid pins in under 2 minutes and generate an Excel file with the generated PINs', Medium
LF,'The website shall be attractive to all audiences The website shall appear to be fun and the colors should be bright and vibrant', Low
LF,'The website should have an African feel but should not alienate non-Africans The website should use animation on pages which are describing the services to grab the users attention and encourage them to sign up', Low
LF,'The website design should be modern clean and concise', Low
US,'The product should be able to be used by 90% of novice users on the Internet', Medium
LF,'Users should only have to navigate through a maximum of 4 pages to create an account with the website', Low
US,'Users should only have to navigate through a maximum of 4 pages to create an account with the website', Medium
LF,'Users should be able to access their streaming movies in under 2 clicks after logging into the website', Low
US,'Users should be able to access their streaming movies in under 2 clicks after logging into the website', Medium
US,'An anonymous survey will show that 70% of customers are comfortable purchasing streaming movies after 2 weeks using the website', Medium
US,'An anonymous survey will show that 95% of customers are comfortable using and purchasing pre-paid cards after a month of using the system', Medium
US,The product shall retain the customer's buying preferences and information, Medium
PE,'The product shall be easy for customers with novice skills on the Internet to purchase and watch streaming movies Customers should be able to purchase and watch a pre-determined movie in under 3 minutes', High
US,'The product shall be easy for customers with novice skills on the Internet to purchase and watch streaming movies Customers should be able to purchase and watch a pre-determined movie in under 3 minutes', Medium
LF,'The product shall use symbols and words that are naturally understandable by users familiar with websites', Low
US,'The product shall use symbols and words that are naturally understandable by users familiar with websites', Medium
LF,'The website will use standard Internet conventions when interacting with the user', Low
US,'The website will use standard Internet conventions when interacting with the user', Medium
FT,'Any interface between a user and the automated system shall have a maximum response time of 5 seconds unless noted by an exception below', High
PE,'Any interface between a user and the automated system shall have a maximum response time of 5 seconds unless noted by an exception below', High
PE,'When purchasing a streaming movie or pre-paid card via credit card the processing time should have a maximum response time of 15 seconds', High
PE,When streaming a movie the buffering time should take no longer than 10 seconds (plus any latency on the user's connection), High
PE,While streaming a movie buffering should only occur if there is latency in the user's connection, High
SE,'All credit card information will be secured on the server and only accessible by authorized Izogn administrators Information will be encrypted in the database', High
A,'The website shall be available for use 24 hours per day 365 days per year', High
A,'The website shall achieve 995% up time', High
A,'All movies shall be streamed on demand at any time of the day', High
A,'The website shall continue to operate if the streaming server goes down', High
FT,'The website shall continue to operate if the streaming server goes down', High
A,'The website shall continue to operate if the payment gateway goes down', High
FT,'The website shall continue to operate if the payment gateway goes down', High
SC,'The streaming server will support 50 simultaneous streaming connections', Medium
MN,'The streaming server will support a maximum of 700 movies; new servers can be added to support more movies', Medium
SC,'The streaming server will support a maximum of 700 movies; new servers can be added to support more movies', Medium
SC,'The server will support a maximum of 1 000 simultaneous users', Medium
SC,'The website shall be capable of supporting 100 000 customers', Medium
MN,'The product shall be expected to operate within the maximum maintenance budget for a minimum of 2 years', Medium
O,'The product shall be expected to operate within the maximum maintenance budget for a minimum of 2 years', Low
O,'All aspects of the website shall be accessed by a web browser over the Internet', Low
O,'The same hardware supporting the current website will be used to support the new system', Low
PO,'The same hardware supporting the current website will be used to support the new system', Low
O,'We must be able to interface with the following browsers: IE 5X 60 Netscape 6x 7x 8x and Firefox 10', Low
O,'Website must interface with the CyberSource API to process credit card transactions', Medium
O,'Website must be fully operational with MSN TV2', Low
O,'Movies shall be encoded and streamed via Windows Media Player 90', Low
O,'Movies shall be encoded for 56k and 256k streams', Low
MN,'Promotional updates to the website should take a day to update', Medium
US,'Promotional updates to the website should take a day to update', Medium
LF,'Izogn Administrator must be able to update the category listings on the website within 2 minutes', Low
PE,'Izogn Administrator must be able to update the category listings on the website within 2 minutes', High
US,'Izogn Administrator must be able to update the category listings on the website within 2 minutes', Medium
LF,'Izogn Administrator must be able to add new products to the website within 2 minutes', Low
PE,'Izogn Administrator must be able to add new products to the website within 2 minutes', High
US,'Izogn Administrator must be able to add new products to the website within 2 minutes', Medium
A,'The system will provide a 24 hour 800 toll free number for support to its customers', High
A,'Velkat staff will be available for phone support between 7am-7pm M-F to provide technical support to the Izogn administrators', High
O,'The product shall be able to be installed in the specified environment within 1 working day', Low
SE,'Only registered customers can purchase streaming movies', High
L,'A customer can only stream a movie if they purchased it and are within the 2 day viewing period', High
SE,'A customer can only stream a movie if they purchased it and are within the 2 day viewing period', High
SE,'Only authorized personnel can access customer records in the database', High
SE,'Only administrators can activate a pre-paid card', High
SE,'Only authorized personnel can access sales information', High
FT,'The website shall prevent its data from being corrupted when incorrect data is entered in', High
SE,'The website shall prevent its data from being corrupted when incorrect data is entered in', High
MN,'The website shall protect itself from intentional abuse and notify the administrator at all occurrences', Medium
SE,'The website shall protect itself from intentional abuse and notify the administrator at all occurrences', High
MN,'Data integrity scripts will be run on a weekly basis to verify the integrity of the database', Medium
SE,'Data integrity scripts will be run on a weekly basis to verify the integrity of the database', High
SE,'The website shall make its user aware of its information practices before collection data from them via a Privacy Policy accessible on all pages of the website', Medium
US,'The website shall make its user aware of its information practices before collection data from them via a Privacy Policy accessible on all pages of the website', Medium
L,The system shall reveal private information only in compliance with the organization's information policy, High
SE,The system shall reveal private information only in compliance with the organization's information policy, High
SE,'All customer information will be stored on a secure database accessible only to authorized personnel', High
SE,'All credit card information will be encrypted in the database', High
SE,'The streaming server will have anti-virus software to prevent infection of malicious viruses', High
LF,'The website should cater to all tribes in Nigeria', Low
US,'The website should cater to all tribes in Nigeria', Medium
LF,'The website shall not be offensive to religious or ethnic groups', Low
LF,'The website should appeal to all Africans not only Nigerians', Low
LF,'The website should use Flash to provide animation on the home page', Low
O,'The website should use Flash to provide animation on the home page', Low
L,'IzognMovies shall meet the licensing requirements set forth by the appropriate organizations in order to stream African movies', High
L,'The website will comply with W3C standards', High
SE,'The website will comply with W3C standards', High
L,'The PHP code will comply with PEAR standards', High
SE,'The PHP code will comply with PEAR standards', High
A,'All streaming movie sales will be logged in the database and accessible by the administrator', High
MN,'Daily usage statistics should be logged and accessible by the administrator', Medium
A,'The owner shall have free access to all of the streaming movies', High
SE,'The owner shall have free access to all of the streaming movies', High
US,'The owner shall have free access to all of the streaming movies', Medium
A,'Total lead cycle time must be completed in 5 minutes for 90% of lead volume between the business hours of 8AM CST to 8PM CST; then 3 minutes for 99% of lead volume during off business hours', High
