RequirementText,Type
The product shall be able to display calendar dates and times according to the user's locale. 90% of survey respondents from each target market country will find that the date and time formatting of the product is correct.',"IsFunctional, Usability"
'The product must be developed with the J2SE/J2EE programming language libraries',Operability
'The product shall record meeting entries.',IsFunctional
'The product will notify employees of meeting invitations.',IsFunctional
'The product shall have the ability to send meeting reminders to employees.',IsFunctional
'The product shall assign the organizers contact information to each meeting they create.',IsFunctional
'The product will record meeting acknowledgements.',IsFunctional
'The product shall store new conference rooms.',IsFunctional
'The product shall update existing conference rooms.',IsFunctional
'The product will be able to delete conference rooms.',IsFunctional
'The product shall be able to store new room equipment.',IsFunctional
'The product will update existing room equipment.',IsFunctional
'The product shall be able to delete room equipment.',IsFunctional
'The product shall allow an organizer to invite other employees to meetings.',IsFunctional
'Each time a conference room is reserved the conference room schedule shall be updated to reflect the time and date of the reservation.',IsFunctional
'The product shall record the transportation status of equipment reserved.',IsFunctional
'The product shall display a map of the company building showing conference room locations.',IsFunctional
'The product shall record updated meeting agendas.',IsFunctional
'The product shall send a meeting confirmation to the meeting organizer.',IsFunctional
'The product shall display room equipment according to search parameters.',IsFunctional
'The product shall display conference rooms according to search parameters.',IsFunctional
'The product shall record different meeting types.',IsFunctional
'The product shall record all the equipment that has been reserved.',IsFunctional
'The product shall notify building personnel of equipment transport requests.',IsFunctional
'The product will allow priviledged users to view meeting schedules in multiple reporting views.',IsFunctional
'The product shall be able to send meeting notifications via different kinds of end-user specified methods.',IsFunctional
'The product shall have a customizable Look and Feel.',"IsFunctional, Look & Feel"
'The product shall have an intuitive user interface.',Usability
'The product will display an available status for unreserved conference rooms.',IsFunctional
'Recreation of Inventory Quantity Adjustment for the period of previous 30 days shall take no more than 30min.',"IsFunctional, Performance"
'The System shall allow for a minimum of 6 users to work at the same time.',Scalability
'The System shall utilize currently owned computer equipment.',Operability
'The System shall be able to automatically backup business data and restore them on demand.',"IsFunctional, Fault Tolerance"
'The System shall maintain consistent security. Any changes in user passwords and/or permissions should take affect in all parts of the System.',Security
'The System shall granularly control access rights to all major subsystems. It should be possible to assign access rights to all subsystems independently.',Security
'The System shall meet all applicable accounting standards. The final version of the System must successfully pass independent audit performed by a certified auditor.',"Legal, Maintainability"
'The System shall not require additional third party licenses resulting in royalty fees.',Operability
'The System shall allow generation of Inventory Quantity Adjustment documents on demand.',IsFunctional
'The System shall allow on demand generation of all Inventory Quantity Adjustment documents since certain point of time.',IsFunctional
'The IQA subsystem shall take into account current inventory status and adjust inventory of substitutionary ingredients accordingly.',IsFunctional
'The System shall allow entering storing and modifying product formulas.',IsFunctional
'Product formulas shall allow use of semi-products which have own formulas.',IsFunctional
'Product formula ingredients shall allow defining substitutionary ingredients.',IsFunctional
'Product formula substitutionary ingredients shall be entered automatically by the PFE subsystem.',IsFunctional
'Formula substitutionary ingredients shall be kept in persisted order',IsFunctional
'Product shall allow entering storing and modifying product menus used by POS terminals.',IsFunctional
'PME Subsystem shall allow building product menus based on the list of products kept in the accounting system.',IsFunctional
'PME Subsystem shall allow keeping submenus within menus and products within submenus in a managed and persisted order.',"Look & Feel, Usability"
'PME Subsystem shall allow for a product to exist in more than one submenu',IsFunctional
'The RMS System shall have Windows XP look and feel and use GUI futures making its use intuitive.',"Look & Feel, Usability"
'The System shall generate Inventory Quantity Adjustment document based on product daily sales data and product formulas.',IsFunctional
'The System shall generate Inventory Quantity Adjustment document automatically when daily Product Sales data is available.',IsFunctional
'Administrator shall be able to activate a pre-paid card via the Administration section in under 5 seconds.',"IsFunctional, Performance, Usability"
'Customer shall be able to check the status of their prepaid card by entering in the PIN number in under 5 seconds.',"IsFunctional, Performance, Usability"
"System shall let customers register on the website as a ""pay as you go"" user in under 5 minutes.'","IsFunctional, Performance, Usability"
"System shall let customers register on the website as a ""unlimited movie subscriber"" user in under 10 minutes.'","IsFunctional, Performance, Usability"
'System shall let existing customers log into the website with their email address and password in under 5 seconds.',"IsFunctional, Performance, Usability"
'System shall let customers cancel their account process shall take no longer than 2 minutes. Database will mark the account as inactive and user will not be able to log into the website.',"IsFunctional, Performance, Security, Usability"
'System shall let administrator de-activate a customer account in under 1 minute. Customer will no longer be able to access the website.',"IsFunctional, Performance, Security"
'System shall let administrator add/remove movies on the website in under 5 minutes. Entered movie information will be stored in the database and will now be available on the website.',"IsFunctional, Performance, Usability"
'System shall let the administrator add/remove categories on the website in under 5 minutes.',"IsFunctional, Performance, Usability"
'System shall let Izogn Manager access sales and usage statistics in under 2 minutes.',Performance
'System shall let administrators generate unique pre-paid pins in under 2 minutes and generate an Excel file with the generated PINs.',"IsFunctional, Performance, Usability"
'The website shall be attractive to all audiences. The website shall appear to be fun and the colors should be bright and vibrant.',Look & Feel
'The website should have an African feel but should not alienate non-Africans. The website should use animation on pages which are describing the services to grab the users attention and encourage them to sign up.',Look & Feel
'The website design should be modern clean and concise.',Look & Feel
'The product should be able to be used by 90% of novice users on the Internet.',Usability
'Users should only have to navigate through a maximum of 4 pages to create an account with the website.',"Look & Feel, Usability"
'Users should be able to access their streaming movies in under 2 clicks after logging into the website.',"IsFunctional, Look & Feel, Usability"
'An anonymous survey will show that 70% of customers are comfortable purchasing streaming movies after 2 weeks using the website.',Usability
'An anonymous survey will show that 95% of customers are comfortable using and purchasing pre-paid cards after a month of using the system.',Usability
The product shall retain the customer's buying preferences and information.',"IsFunctional, Usability"
'The product shall be easy for customers with novice skills on the Internet to purchase and watch streaming movies. Customers should be able to purchase and watch a pre-determined movie in under 3 minutes.',"IsFunctional, Performance, Usability"
'The product shall use symbols and words that are naturally understandable by users familiar with websites',"Look & Feel, Usability"
'The website will use standard Internet conventions when interacting with the user.',"Look & Feel, Usability"
'Any interface between a user and the automated system shall have a maximum response time of 5 seconds unless noted by an exception below.',"Fault Tolerance, Performance"
'When purchasing a streaming movie or pre-paid card via credit card the processing time should have a maximum response time of 15 seconds.',Performance
When streaming a movie the buffering time should take no longer than 10 seconds (plus any latency on the user's connection.)',Performance
While streaming a movie buffering should only occur if there is latency in the user's connection.',Performance
'All credit card information will be secured on the server and only accessible by authorized Izogn administrators. Information will be encrypted in the database.',Security
'The website shall be available for use 24 hours per day 365 days per year.',Availability
'The website shall achieve 99.5% up time.',Availability
'All movies shall be streamed on demand at any time of the day.',"IsFunctional, Availability"
'The website shall continue to operate if the streaming server goes down.',"Availability, Fault Tolerance"
'The website shall continue to operate if the payment gateway goes down.',"Availability, Fault Tolerance"
'The streaming server will support 50 simultaneous streaming connections.',Scalability
'The streaming server will support a maximum of 700 movies; new servers can be added to support more movies.',"Maintainability, Scalability"
'The server will support a maximum of 1 000 simultaneous users.',Scalability
'The website shall be capable of supporting 100 000 customers.',Scalability
'The product shall be expected to operate within the maximum maintenance budget for a minimum of 2 years.',"Maintainability, Operability"
'All aspects of the website shall be accessed by a web browser over the Internet.',Operability
'The same hardware supporting the current website will be used to support the new system.',"Operability, Portability"
'We must be able to interface with the following browsers: IE 5.X 6.0 Netscape 6.x 7.x 8.x and Firefox 1.0.',Operability
'Website must interface with the CyberSource API to process credit card transactions.',Operability
'Website must be fully operational with MSN TV2.',Operability
'Movies shall be encoded and streamed via Windows Media Player 9.0.',Operability
'Movies shall be encoded for 56k and 256k streams.',Operability
'Promotional updates to the website should take a day to update.',"Maintainability, Usability"
'Izogn Administrator must be able to update the category listings on the website within 2 minutes.',"IsFunctional, Look & Feel, Performance, Usability"
'Izogn Administrator must be able to add new products to the website within 2 minutes.',"IsFunctional, Look & Feel, Performance, Usability"
'The system will provide a 24 hour 800 toll free number for support to its customers.',Availability
'The website will provide a help section with answers and solutions to common problems.',IsFunctional
'Velkat staff will be available for phone support between 7am-7pm M-F to provide technical support to the Izogn administrators.',Availability
'The product shall be able to be installed in the specified environment within 1 working day.',Operability
'Only registered customers can purchase streaming movies.',Security
'A customer can only stream a movie if they purchased it and are within the 2 day viewing period.',"Legal, Security"
'Only authorized personnel can access customer records in the database.',Security
'Only administrators can activate a pre-paid card.',Security
'Only authorized personnel can access sales information.',Security
'The website shall prevent its data from being corrupted when incorrect data is entered in.',"Fault Tolerance, Security"
'The website shall protect itself from intentional abuse and notify the administrator at all occurrences.',"Maintainability, Security"
'Data integrity scripts will be run on a weekly basis to verify the integrity of the database.',"Maintainability, Security"
'The website shall make its user aware of its information practices before collection data from them via a Privacy Policy accessible on all pages of the website.',"IsFunctional, Security, Usability"
'The system shall notify customers of changes to its information policy.',IsFunctional
The system shall reveal private information only in compliance with the organization's information policy.',"Legal, Security"
'All customer information will be stored on a secure database accessible only to authorized personnel.',Security
'All credit card information will be encrypted in the database.',Security
'The streaming server will have anti-virus software to prevent infection of malicious viruses.',Security
'The website should cater to all tribes in Nigeria.',"Look & Feel, Usability"
'The website shall not be offensive to religious or ethnic groups.',Look & Feel
'The website should appeal to all Africans not only Nigerians.',Look & Feel
'The website should use Flash to provide animation on the home page.',"Look & Feel, Operability"
'IzognMovies shall meet the licensing requirements set forth by the appropriate organizations in order to stream African movies.',Legal
'The website will comply with W3C standards.',"Legal, Security"
'The PHP code will comply with PEAR standards.',"Legal, Security"
'The website will allow customers to search for movies by title actor or director.',IsFunctional
'viewing a movie details the website will display the movies description actor and director entered in by the administrator.',IsFunctional
'Website shall request and authorize credit card payment before allowing a user to stream a movie.',IsFunctional
'shall be able to stream purchased movie via Windows Media Player for up to 2 days aftere purchase date.',IsFunctional
'Website shall allow customers to browse movies by categories entered in by izogn administrator.',IsFunctional
'Website shall allow customers to view reviews of selected movies by other customers.',IsFunctional
'Website shall allow customers to add their own movie review for a selected movie.',IsFunctional
'Website shall allow the Izogn administrator to approve a review posted by a customer.',IsFunctional
'System will allow customers to pay for a streaming movie with a pre-paid card.',IsFunctional
'Website shall allow customers to purchase pre-paid cards of $5 $10 or $20 value either by credit card or mail-in payment option.',IsFunctional
'System shall automatically update the main page of the website every Friday and show the 4 latest movies that have been added to the website.',IsFunctional
'System shall allow users to update their billing and contact information via the â€œMy Accountâ€ section of the website.',IsFunctional
'Pre-paid cards shall be distributed via email or via a printed paper card.',IsFunctional
'Movies can only be streamed if the customer has purchased a movie and is within the 2-day time period to stream the movie.',IsFunctional
'Website must be able to support free trial periods with various parameters set by the Izogn Manager.',IsFunctional
'All streaming movie sales will be logged in the database and accessible by the administrator.',"IsFunctional, Availability"
'All registered customer information shall be stored and maintained in the database even after the customer cancels their account.',IsFunctional
'Daily usage statistics should be logged and accessible by the administrator.',"IsFunctional, Maintainability"
'The owner shall have free access to all of the streaming movies.',"Availability, Security, Usability"
'Total lead cycle time must be completed in 5 minutes for 90% of lead volume between the business hours of 8AM CST to 8PM CST; then 3 minutes for 99% of lead volume during off business hours.',"Availability, Performance"
'No lead evaluation will complete in a time period longer than 25 seconds for 97% of all leads processed.',"Availability, Performance"
'For leads that process longer than 25 seconds the system will record the event and duration',IsFunctional
'The process must fit within the processing time conditions set forth by the Auto Rep Assignment process in which a lead is assigned within 3 minutes of the total life cycle.',Performance
'The lead washing process will operate within the established physical web service structure.',Operability
'The washing process must use a non binding neutral data format such as xml when receiving and processing lead data.',Operability
'Defect reports will be available to technical units on a 24x7 basis.',"Availability, Fault Tolerance"
'Washing parameters will be updated during scheduled maintenance hours.',Maintainability
'The vendor will verify the invalid lead.',IsFunctional
'Vendor will submit a credit validation record to be applied to the enterprise billing system.',IsFunctional
'If a lead is scored to the high range the system will supply the lead data and score to the enterprise system.',IsFunctional
'The leads washing functionality will validate all leads received by the web service for valid data',IsFunctional
'The leads washing functionality will insert all leads captured by the web service.',IsFunctional
'If the leads score falls within the high average score then it will be process by the ARA functionality.',IsFunctional
'If the leads score falls within the medium average then it will be set for manual verification by an Enrollment Coordinator through the eleads system.',IsFunctional
'If the leads score falls within the low average then it will be returned to the supplying vendor',IsFunctional
'The leads washing functionality will compile both contact and academic scoring information for a total score.',IsFunctional
'The leads washing functionality will use the parameters supplied by corporate and schools to score part of the lead.',IsFunctional
'The leads washing functionality will return the lead data supplied to the vendor along with the reason of rejection.',IsFunctional
'The leads washing functionality will have an interface in which lead data parameters can be maintained.',IsFunctional
'The leads washing functionality will verify the users authentication and rights to make parameter updates.',IsFunctional
'The leads washing functionality will store any potential lead duplicates returned by the enterprise system.',IsFunctional
'Prior to submitting the lead to the enterprise system the leads washing functionality will assign the lead to an admissions rep.',IsFunctional
'The leads washing functionality shall receive a period list of available reps from the enterprise system.',IsFunctional
'The product shall simulate the look of ships at sea.',Look & Feel
'The product shall display the grids within a circle as a view from a periscope.',Look & Feel
'The product shall display each type of ship in a grid using an image of the specific type of ship.',Look & Feel
'When the offensive player takes a shot the product shall simulate the sound of a ship at sea.',"IsFunctional, Look & Feel"
'When a shot is marked as a miss the product shall simulate the sound of a shot missing its target.',"IsFunctional, Look & Feel"
'When a shot is marked as a hit the product shall simulate the sound of a shot hitting its target.',"IsFunctional, Look & Feel"
'When a ship is sunk the product shall simulate the sound of a sinking ship.',"IsFunctional, Look & Feel"
'The product shall be available 24 hours per day seven days per week.',Availability
'The product shall able to handle a large number of games simultaneously.',"Performance, Scalability"
'The response time shall be fast enough to maintain the flow of the game. The response time shall be no more than 2 seconds for 95% of responses and no more than 4% for the remaining responses.',Performance
'The product shall protect the identity of the players. The product shall provide players no access to information that might reveal the identity of another player.',Security
'The product shall be intuitive and self-explanatory. Nine out ten users shall be able to successfully complete a game with no training.',Usability
'The product shall be available to players who understand English Spanish and French. The product shall allow the user to select the language upon accessing the product.',"IsFunctional, Usability"
'The product shall provide players no access to information that might reveal the identity of another player',Security
'The product shall maintain a list of players.',IsFunctional
'The product shall allow a user to identify himself or herself as a player.',IsFunctional
'Once a game has been initiated the product shall make the players assigned to the game unavailable for selection from the list of players.',IsFunctional
'The product shall allow a user to remove himself or herself from the list of players at any time.',IsFunctional
'The product shall make inactive players unavailable for selection from the list of players.',IsFunctional
'The product shall remove players who have been inactive for 24 hours from the list of players.',IsFunctional
'The product shall allow a player to initiate a game by selecting another available player from the list of players.',IsFunctional
'Once a game is initiated the product shall display a defensive grid to each player',IsFunctional
'Once a game is initiated the product shall display an offensive grid to each player.',IsFunctional
'The product shall prevent a player from viewing the offensive or defensive grids of the other player.',IsFunctional
'Once a game is initiated the product shall allow each player to position their 5 ships on their respective defensive grids.',IsFunctional
'The product shall allow a player to position ships horizontally on their grid.',IsFunctional
'The product shall allow the player to position ships vertically on their grid.',IsFunctional
'The product shall allow the player to position ships diagonally on their grid',IsFunctional
'The product shall prevent the player from overlapping ships on their grid.',IsFunctional
'When both players have positioned their 5 ships on their defensive grids the product shall define the status of each player for the first turn.',IsFunctional
'For each turn the product shall identify one player as offensive status and one player as defensive status.',IsFunctional
'The product shall maintain the status of each player for a turn either offensive or defensive.',IsFunctional
'At the start of each turn the product shall notify each player of his or her status.',IsFunctional
'For each turn the product shall allow the offensive player to define a shot.',IsFunctional
'For each shot the product shall examine the defensive grid of the defensive player to determine whether the shot was a hit or miss.',IsFunctional
'For each shot the product shall notify the players whether the shot was a hit or miss.',IsFunctional
'For each shot the product shall mark the shot as a hit or miss on the defensive grid of the defensive player.',IsFunctional
'For each shot the product shall mark the shot as a hit or miss on the offensive grid of the offensive player.',IsFunctional
'When the hit results in sinking a ship the product shall notify the players that the ship was sunk.',IsFunctional
'When the hit results in sinking a ship the product shall mark the ship as sunk on the defensive grid of the defensive player.',IsFunctional
'When the hit results in sinking a ship the product shall indicate the type of ship sunk on the defensive grid of the defensive player.',IsFunctional
'When the hit results in sinking a ship the product shall mark the ship as sunk on the offensive grid of the offensive player.',IsFunctional
'If the shot was marked as a hit the product shall allow the offensive player to define a shot.',IsFunctional
'If the shot was marked as a miss the product shall change the status of the offensive player to defensive',IsFunctional
'If the shot was marked as a miss the product shall change the status of the defensive player to offensive',IsFunctional
'The product shall continue to assign turns until the game is ended.',IsFunctional
The product shall end a game when a hit by the offensive player results in sinking the last of the defensive player's ships which had not been previously marked as sunk.',IsFunctional
'The product shall allow a player to end a game at any time during the game.',IsFunctional
'When a game is ended the product shall notify the players that the game is ended.',IsFunctional
'The notification of the game ending will include the reason the game is ended (i.e. a player has won the game or a player has ended the game).',IsFunctional
'When a game is ended the product shall allow each player to identify himself or herself as an available player in the list of players.',IsFunctional
'When a game is ended the product shall allow each player to remove himself or herself from the list of players.',IsFunctional
The system shall be easy to use by callers and supervisors. Callers and supervisors must be able to accomplish any system task within 2 minutes.',"Performance, Usability"
The system shall be easy to learn by callers and supervisors. Callers and supervisors shall learn how to use the system within 10 minutes.',Usability
The system shall be responsive. At the DePaul TeleServices Center when a supervisor uses the system to view a callers schedule the system response time must be no more than 2 seconds 90% of the time and no more than 5 seconds the rest of the time.',"Performance, Usability"
On a 56k connection the system response time for all operations must be no more than 6 seconds 90% of the time.',"Availability, Performance"
On a 112k connection or faster the system response time for all operations must be no more than 3 seconds 90% of the time.',"Availability, Performance"
The system shall have high availability every day of the year.The system must be available for use between 12:00AM and 6:00PM all days of the year.',Availability
The system must be available for use between 7:00AM and 11:59PM all days of the year.',Availability
The product shall be internet browser independent.The product must run using Internet Explorer and Netscape Navigator.',Portability
The product shall ensure that only supervisors can advertise empty time slots.The product must ensure that supervisors are allowed to access advertise empty time slots.',"IsFunctional, Security"
The product shall ensure that only supervisors can enter a caller's schedule.The product must ensure that supervisors are allowed to access advertise empty time slots.',"IsFunctional, Security"
The product shall ensure that only supervisors can view schedule of all callers.The product must ensure that supervisors are allowed to access advertise empty time slots.',"IsFunctional, Security"
The interface shall have a simple look. In the interface and usability survey 90% of beta testers must report that the interface is adequately simple.',Look & Feel
The interface shall be appealing to callers and supervisors. In the interface and usability survey 80% of beta testers must report that the interface is appealing.',"Look & Feel, Performance"
'The product shall provide GUI based Monitoring Services.System Administrators shall monitor message exchanges will predict and determine problems and will also provide internal and external support.',"IsFunctional, Maintainability, Operability"
'The product shall comply with City of Chicago Application Development Guide Framework.Application Development Framework will provide structured Graphical User Interface.',"Legal, Look & Feel"
'The product shall provide Monitoring Services.The product shall be easy for System Administrators and DBAs to use after two weeks of usage.',"IsFunctional, Usability"
'The product shall provide Error Tracking Services.The product shall help the System Administrators and DBAs to resolve transaction errors 99% of the time.',"IsFunctional, Fault Tolerance, Maintainability, Usability"
'The product shall provide Portals.The product shall help System Administrators to analyze the transactions with ad-hoc reporting and KPIs (Key Performance Indicators)',"IsFunctional, Usability"
'The product shall provide Asynchronous Messaging.The product shall provide asynchronous messaging to enable parallel processing and reduce the overhead in communications',"IsFunctional, Performance, Usability"
'The product shall provide Multi-threading and Load Balancing.The product shall provide multi-threading technology as well as load balancing to overcome data load spikes and traffic.',"Performance, Scalability, Usability"
'The product shall process messages within 2 seconds.The product shall have a maximum message processing time of 2 seconds',"IsFunctional, Performance"
'The product shall poll the system for messages every second.The product shall poll the system for new messages at a maximum of every 1 second.',"IsFunctional, Performance"
'The product shall provide Dynamic Change Support and Transparent resource addition.The product shall support Transparent Resource addition and Dynamic Change support to provide scalability and avoid service interruptions of more than 1 day.',"IsFunctional, Fault Tolerance, Scalability"
'The product shall be available 99% of the time. Rationale: To avoid service interruption during busiest customer service response periods. The product shall be available 99.99% of the time for regular business days.',Availability
'The product shall be robust.The product shall have fault avoidance based on standards adoption.',"Fault Tolerance, Performance"
'The product shall be robust with fault tolerance.The product shall have fault tolerance by using recovery technique compensatory transaction and routing around failures.',Fault Tolerance
'The product shall be able to process all transactions.The product shall process minimum of 1 million transactions per year.',"Performance, Scalability"
'The product shall be platform independent.The product shall enable access to any type of development environment and platform.',"Operability, Portability"
'The product shall interface CSR and Datastream.The product shall exchange messages between CSR and EAM on a real time basis without any direct interfaces between two systems.',Operability
': The product shall continue to operate during upgrade change or new resource addition.The product shall be able to continue to operate with no interruption in service due to new resource additions.',"Maintainability, Portability"
'The product shall be updated on a regular basis.The product will have a new major feature introduced every six months and quarterly maintenance releases every six months.',Maintainability
'The product shall operate with every platform.The product shall accommodate any new technology without any change in its architecture.',"Maintainability, Portability"
'The product shall have security.The product shall provide authentication and authorization.',Security
'The product shall information Security. The product shall enable privacy by encryption WS-Security and Integrity Checking.',Security
'The product shall have audit capabilities.The product shall store messages for a minimum of one year for audit and transaction tracking purposes.',Security
'The system shall use IBM and CCR branding standards. The interface must have one IBM logo and one CCR logo.',Look & Feel
'The system shall be displayable on any work computer a CCR user may have. The system interface shall be formatted to display at 800 by 600 pixel resolution.',"Look & Feel, Portability"
'The system interface will use CCR nomenclature. The system must use the same nomenclature used in the existing WCS system and reports',Look & Feel
The interface must summarize the data in a fashion that's appealing to CCR management. Every report type must have at least one high level summary shown in the results dashboard/interface',"IsFunctional, Look & Feel"
'The system must use a point and click interface. 100% of all selection and navigation functionality must be able to be activated/selected by either a mouse or a keyboard',"Look & Feel, Usability"
'The interface shall be easy to use. 90% of users should be able to successfully use the system to generate a report on their first use. The interface should adhere to IBM usability standards.',"Look & Feel, Usability"
Reports must be easy to generate. Reports must be generated within one button click and exported within one button click (after selecting the report)',"Operability, Usability"
'A user shall be able to use the system without instruction after a short amount of time. After one use a user should understand and remember 90% of the system usage and navigation.',Usability
'All CCR users shall receive training before the WCS system is deployed. One training session will be held for 100% of CCR users before system deployment (based on a CCR user being available)',None
'The WCS system shall use appropriate nomenclature and terminology as defined by the Corporate Community Grants organization. All interfaces and reports will undergo usability tests by CCR users.',"Legal, Look & Feel, Usability"
The WCS system shall be available at all times as long as IBM's internal intranet W3 is accessible. The WCS system will be available 95% of the time IBM's internal intranet W3 is available.',Availability
'The WCS system shall have the ability to connect other designated WCS databases currently not included in the system.',"Portability, Scalability"
'The WCS system shall have the ability to include data for regions outside the United States and be accessed by users outside of the United States if approved by CCR management.',"Scalability, Usability"
'The WCS system shall be run in a Windows environment. The WCS shall be accessed by users through the Internet on an IBM computer running a Windows 2000 or above operating system.',"Operability, Portability"
'The Brio portion of the WCS system must be able to export files in spreadsheet form (Microsoft Excel and Lotus 1-2-3 formats). Brio will provide buttons in the user interface that produce/export reports in .xls or .123 file formats.',"IsFunctional, Look & Feel, Operability"
'The WCS system must run queries to the WCS databases once again (on a specified day) to update the available data available to CCR users. Queries must be made to external databases for data refresh once a week.',"IsFunctional, Fault Tolerance, Maintainability"
'All changes updates and additions to the WCS system shall be updated in the WCS Developer and WCS User Guides. Every change must be reflected in WCS system documentation',Maintainability
'The system shall only be accessed by authorized Corporate Community Grants (CCR) employees. Users must be authenticated using their IBM intranet user name and password.',Security
The WCS system shall not allow automatic logins by any user. Cookies containing WCS login information about a user will not be stored on a user's computer.',Security
Each team owner will need to use a username and password in order to be authenticated to reach the team owner's page',Security
'The Commissioner will be the only authorized user per league to adjust league settings.',"Legal, Security"
'Each page shall contain a navigation menu which shows the index into which the current page is contained.',Look & Feel
'Each page shall contain a similar format with action items in one location and navigation buttons in a different location.',"Look & Feel, Usability"
'The message board shall contain the 5 most recently posted messages on the league page. The messages will contain up to the first 150 characters of the message.',IsFunctional
'A new user shall be able to navigate through the league and team pages within 30 seconds of reaching the start-up page.',"Look & Feel, Performance, Usability"
"Users shall be able to reach the 'add' , drop',  and 'trade player' pages with one click from the team owner's page.'","Look & Feel, Usability"
'Users shall be able to view at least 25 NFL player statistics and points on each page.',"IsFunctional, Performance"
'The application shall ask the user to confirm dropping a player or trading a player before performing the action.',IsFunctional
'The application shall be able to complete every user transaction within one fourth of a second of receiving the request over the network.',"Availability, Performance"
'The application shall have a downtime of at most 10 minutes per year.',Availability
'The application shall run on a web application server.',Operability
'A primary database will be used to store cached data for active users.',"Maintainability, Operability"
'A secondary database will be used to store historical statistics and data.',"Maintainability, Operability"
'Application updates shall occur between 3AM and 6 AM CST on Wednesday morning during the middle of the NFL season.',Maintainability
'New System version releases shall be released at the beginning of each NFL season.',Maintainability
'The RFS system should be available 24/7 especially during the budgeting period. The RFS system shall be available 90% of the time all year and 98% during the budgeting period. 2% of the time the system will become available within 1 hour of the time that the situation is reported.',"Availability, Fault Tolerance, Performance"
'98% of the user workstations shall meet the minimum hardware requirements prior to implementation. Minimum Hard Disk Space: 400MB.',Operability
'98% of the user workstations shall meet the minimum software requirements prior to implementation: Microsoft Internet Explorer 5.0. Microsoft .NET Framework 1.1. Microsoft Internet Explorer Web Controls',Operability
The RFS system should be able to easily interface with the BDW environment in order to load the data. Seven data files shall be received from the BDW and loaded into the RFS system within 3 hours one day prior to the start of budgeting process every year. The data will be as of October month-end. Test files (7) shall be loaded up to 5 times throughout the year from the BDW.',"Operability, Performance"
'Changes to revenue and expense formulae must be applied to the RFS system every year prior to the budgeting process start. Revenue and expense formulae will be updated within one week of their receipt after which 2 weeks will be allotted to testing of the budget calculations to be conducted jointly by the project development team and PCG Finance.',"Legal, Maintainability"
'New branches/complexes/districts/regions and revenue/expense accounts added to the BDW must be reflected in the RFS system. 100% of the entities (mentioned above) available as of October month-end will be loaded into the RFS system prior to the budget start process.',"Availability, Maintainability"
'Only authorized user shall access the RFS system. ONLY users that exist in the UAS system with the RFS system assigned to their role(s) shall access the RFS system and use it.',Security
User access should be limited to the permissions granted to their role(s) Each level in the PCG hierarchy will be assigned a role and users will be assigned to these roles. Access to functionality within RFS system is dependent on the privileges/permission assigned to the role.',Security
'The product must comply with the intranet page standards and requirements of ENET Securities. 95% of the product look & feel will be approved by the Architecture group prior to implementation. The remaining 5% will be corrected and approved within one month of product release.',"Legal, Look & Feel"
'The intranet pages should display appropriately in all resolutions from 800x600 and higher. The display of all the pages will be correct in 95% of the resolutions prior to implementation. The remaining 5% will be corrected within a week of notification of the incorrect display.',Look & Feel
'The users should be able to easily use the system to successfully complete their budgets within the stipulated time for completion. With a week of training prior to product implementation 98% of the users shall complete their budgets within the stipulated time.',Usability
'The product interface should be fast. The response time of the product interface should not exceed 2 seconds 90% of the time. For 10% of the time the response time should not be more than 10 seconds.not be more than 10 seconds.',"Availability, Performance"
